Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Britannia Marie Gold Biscuits Plain,373.5,26.0,13.0,10.0,0.0,7.0,0.0,solid
Britannia Vita Butter Marie Gold Biscuits,341.4,11.4,5.5,25.5,255.0,7.3,0.0,solid
Britannia Pure Magic Chocolush Choco Filled Cookie,460.8,26.1,12.0,37.1,283.0,4.8,0.0,solid
Britannia 5050 Maska Chaska Biscuit,412.1,26.5,15.0,7.5,1065.0,7.7,0.0,solid
Britannia Biscafe Refreshing Super Thin Coffee Cracker,386.8,19.0,9.3,22.6,462.0,6.8,0.0,liquid
Britannia Toastea Milk Rusk,357.7,14.2,6.9,21.0,233.0,9.4,0.0,liquid
Britannia Good Day ChocoChip Cookies,440.2,24.0,14.1,32.0,200.0,6.1,0.0,solid
Sunfeast Glucose Plus,342.1,10.8,5.0,27.8,419.0,7.2,0.0,solid
Sunfeast Dark Fantasy Crème,346.3,13.0,6.3,22.0,308.8,8.9,0.0,solid
Sunfeast Dark Fantasy Yumfills Rich Chocolate Pie Cake,363.3,16.4,10.7,33.1,146.8,5.4,0.0,solid
Sunfeast All Rounder Crunchy Potato Biscuit with Chatpata Masala Flavour,381.6,20.9,10.6,14.8,898.4,8.0,0.0,solid
Sunfeats Dark Fantasy Desserts Choconut Dipped Filled Cookie Reimaged,548.0,31.5,17.8,38.1,128.8,5.2,0.0,solid
"Sunfeast Marie Light Active, Marie Biscuits with Iron and 6 Vitamins Family Pack",346.3,13.0,6.3,22.0,308.8,8.9,0.0,solid
"Sunfeast Dark Fantasy VANILLA CAKE Creme, Dark Crunchy Biscuit with Smooth VANILLA CAKE Creme",383.1,18.1,9.6,27.3,353.0,4.8,0.0,solid
Sunfeast Farmlite Oats & Almonds Cookies,407.6,21.4,9.6,20.5,423.6,12.3,4.7,solid
Sunfeast Farmlite Oats & Chocolate Cookies,418.2,21.6,10.6,26.2,248.8,11.0,4.6,solid
Sunfeast Farmlite Oats & Raisins Cookies,376.8,19.5,9.8,18.3,298.1,7.5,6.9,solid
Frooti Mango Fruit Juice,62.9,0.0,0.0,15.6,25.4,0.0,0.0,liquid
Paper Boat Lychee Fruit Juice,62.4,0.0,0.0,15.4,121.0,0.0,0.0,liquid
Yu Berry Blast 100% Fruit Juice With Berry Pieces,38.3,0.0,0.0,6.4,10.7,0.0,2.0,liquid
Raw Pressery Valencia Orange Fruit Juice,105.3,0.1,0.03,21.9,10.5,1.6,0.4,liquid
Boba Bhai Pina Colada with Popping Bubbles & Nata de Coco,51.1,0.0,0.0,12.77,12.0,0.0,0.0,liquid
Maaza Mango Fruit Juice,63.0,0.0,0.0,14.9,21.9,0.0,0.0,liquid
Paper Boat Swing Pomegranate Fruit Juice,52.8,0.0,0.0,13.0,40.0,0.0,0.0,liquid
Bloody Bubbly Cream Soda,18.0,0.0,0.0,4.4,0.21,0.21,0.0,liquid
Paper Boat Mango,71.2,0.0,0.0,16.7,42.0,0.0,0.0,solid
Coca-Cola Zero Sugar Soft Drink,0.0,0.0,0.0,0.0,7.5,0.0,0.0,liquid
Bloody Bubbly Litchi Soda,18.0,0.0,0.0,4.4,0.21,0.21,0.0,liquid
Paper Boat Swing Lychee Fruit Juice,64.0,0.0,0.0,15.0,9.0,0.0,0.0,liquid
Mogu Mogu Imported Lychee Fruit Juice,150.0,0.0,0.0,35.0,60.0,0.0,1.0,liquid
Bloody Bubbly Lemon Soda,18.0,0.0,0.0,4.4,0.21,0.21,0.0,liquid
Paper Boat Orange Juice,53.2,0.0,0.0,11.5,54.0,0.0,0.0,liquid
"B Natural Mixed Fruit Juice, 100% Pulp",31.4,0.0,0.0,2.7,0.0,0.1,0.75,liquid
Dabur Fruit Power Mixed Fruit Juice,49.0,0.0,0.0,12.3,14.0,0.0,0.0,liquid
Slice Mango Drink,50.0,0.0,0.0,10.8,7.3,0.0,0.0,liquid
Paper Boat Swing Guava Fruit Juice,55.6,0.0,0.0,13.5,105.0,0.0,0.0,liquid
Dabur Real Fruit Power Masala Mixed Fruit Juice,49.0,0.0,0.0,12.3,110.0,0.0,0.0,liquid
Dabur Real Alphonso Mango Fruit Juice,60.0,0.0,0.0,15.1,3.0,0.1,0.0,liquid
Dabur Real Masala Pomegranate Fruit Juice,50.0,0.0,0.0,12.5,72.0,0.0,0.0,liquid
Dabur Real Cranberry Fruit Juice,46.0,0.0,0.0,11.0,5.8,0.0,0.0,liquid
Mogu Mogu Strawberry Fruit Juice,150.0,0.0,0.0,33.0,125.0,0.0,0.0,liquid
Raw Pressery Refreshers Pineapple Fruit Juice,29.1,0.0,0.0,6.5,6.7,0.2,0.0,liquid
Dabur Real Activ Orange Juice,48.0,0.0,0.0,12.0,2.7,0.0,0.0,liquid
Dabur Real Fruit Power Guava Juice,48.0,0.0,0.0,11.9,64.4,0.0,0.0,liquid
Tropicana Delight Guava Fruit Juice,57.0,0.0,0.0,13.5,3.0,0.0,0.0,liquid
Tropicana Delight Mixed Fruit Juice,42.0,0.0,0.0,10.2,25.0,0.0,0.0,liquid
"B Natural Apple Juice, 100% Pulp",28.4,0.0,0.0,1.5,0.0,0.03,0.75,liquid
Dabur Real Activ Mixed Fruit Juice,50.0,0.0,0.0,11.0,5.0,0.1,0.0,liquid
Dabur Real Activ Apple Juice,48.0,0.0,0.0,12.0,40.0,0.0,0.0,liquid
Dabur Real Litchi Fruit Juice,28.4,0.0,0.0,0.0,0.0,0.1,0.0,liquid
Dabur Real Fruit Power Pineapple Fruit Juice,51.0,0.0,0.0,12.5,5.2,0.1,0.0,liquid
Dabur Real Pomegranate Fruit Juice,54.0,0.0,0.0,13.5,10.5,0.0,0.0,liquid
Raw Pressery Refreshers Sugarcane Fruit Juice,43.1,0.1,0.03,9.8,2.8,0.5,0.0,liquid
Dabur Real Mosambi Fruit Juice,50.0,0.0,0.0,12.5,15.0,0.1,0.0,liquid
Raw Pressery Alphonso Mango Fruit Juice,41.7,0.0,0.0,8.69,1.04,0.45,0.91,liquid
Tropicana Delight Cranberry Fruit Juice,43.0,0.0,0.0,10.5,26.0,0.0,0.0,liquid
Storia Pomegranate Fruit Juice,45.0,0.0,0.0,11.2,60.0,0.0,0.0,liquid
Raw Pressery Valencia Orange Fruit Juice,105.3,0.1,0.03,21.9,10.5,1.6,0.4,liquid
Raw Pressery Refreshers Cranberry Fruit Juice,27.2,0.0,0.0,5.81,21.54,0.2,0.0,liquid
Rani Imported Orange and Carrot Fruit Juice,102.0,0.0,0.0,25.0,37.0,0.0,0.4,liquid
Raw Pressery Pomegranate Fruit Juice,62.46,0.6,0.18,14.1,2.2,0.69,0.7,liquid
No filter 100% juice cranberry,46.0,0.0,0.0,11.0,23.0,0.0,0.0,liquid
No filter 100% juice orange,47.0,0.0,0.0,11.2,25.0,0.0,0.0,liquid
No filter 100% juice mango,46.0,0.0,0.0,11.0,22.0,0.0,0.0,liquid
No filter 100% juice strawberry,53.0,0.0,0.0,15.0,27.0,0.0,0.0,liquid
No filter 100% juice lychee,46.0,0.0,0.0,11.0,25.0,0.0,0.0,liquid
Pokka Ready To Drink Carrot Juice,103.0,0.0,0.0,24.5,0.0,0.0,0.0,liquid
RIO Blueberry Peach Bubbly Fruit Drink Can,25.6,0.5,0.15,1.2,0.0,0.5,0.0,liquid
RIO Acai Berry & Mixed Berry Bubbly Fruit Drink Can,26.2,0.5,0.15,1.5,0.0,0.5,0.0,liquid
RIO WildBerry Bubbly Fruit Drink Can,26.2,0.5,0.15,1.5,0.0,0.5,0.0,liquid
RIO Pink Guava Bubbly Fruit Drink Can,30.1,0.5,0.15,1.4,0.0,0.5,0.0,liquid
Appy Fizz Apple Soft Drink,51.8,0.0,0.0,12.9,21.2,0.0,0.0,liquid
Paper Boat Aamras Drink,61.2,0.0,0.0,14.6,0.0,0.0,0.0,liquid
Dabur Real Mango Drink,57.0,0.0,0.0,14.3,1.5,0.0,0.0,liquid
Del Monte Green Apple Fruit Drink Crisp,45.2,0.0,0.0,11.3,12.0,0.0,0.0,liquid
Raw Pressery Refreshers Aam Mango Drink,29.9,0.0,0.0,4.5,8.0,0.4,0.0,liquid
B Natural Guava,20.0,0.0,0.0,4.7,8.0,0.1,0.3,solid
Alo Frut Litchi,42.68,0.0,0.0,10.56,21.62,0.0,0.0,solid
Bindu Fizz Jeera Masala Soft Drink,47.0,0.0,0.0,11.6,160.0,0.1,0.0,liquid
Fanta Orange Flavoured Soft Drink,56.0,0.0,0.0,13.7,22.3,0.0,0.0,liquid
Bombay Banta Lemon Soda Soft Drink,46.0,0.0,0.0,11.0,120.0,0.0,0.0,liquid
Bombay Banta Kala Khatta Soft Drink,48.0,0.0,0.0,11.9,133.2,0.0,0.0,liquid
Thums Up X Force,0.0,0.0,0.0,0.0,3.3,0.0,0.0,solid
Bombay Banta Masala Soda Soft Drink,42.0,0.0,0.0,11.0,110.0,0.0,0.0,liquid
Paper Boat Swing Jeera Soft Drink,46.0,0.0,0.0,11.5,285.0,0.0,0.0,liquid
Aloha Strawberry and Lime Flavoured Soft Drink,90.0,0.0,0.0,19.2,150.1,0.0,0.0,liquid
Aloha Peach Flavoured Soft Drink,84.0,0.0,0.0,18.8,144.8,0.0,0.0,liquid
Aloha Pudina Masala Soft Drink,84.0,0.0,0.0,19.1,160.3,0.0,0.0,liquid
NEOPOP Mango Bliss Can,40.7,0.0,0.0,9.5,0.0,0.0,0.0,solid
NEOPOP Lemon Squeeze Can,38.6,0.0,0.0,9.4,0.0,0.0,0.0,solid
NEOPOP Orange Splash Can,40.0,0.0,0.0,9.5,0.0,0.0,0.0,solid
Monster-S The Doctor Imported Energy Drink,113.0,0.0,0.0,10.0,0.0,0.0,0.0,liquid
Dr Pepper Sparkling Fruit Flavour Soft Drink,52.3,0.0,0.0,4.9,0.0,0.0,0.0,liquid
Bisleri Limonata Lemon and Mint Soft Drink,47.0,0.0,0.0,11.5,2.9,0.0,0.0,liquid
Limca Lemon Soft Drink,44.0,0.0,0.0,10.7,5.5,0.0,0.0,liquid
Dabur Hommade Lemon Concentrated Liquid,20.5,0.0,0.0,2.5,27.0,0.0,0.0,solid
Sprite Lemon and Lime Soft Drink,49.0,0.0,0.0,11.7,0.0,0.0,0.0,liquid
7 Up Lemon Soft Drink,47.0,0.0,0.0,11.7,18.0,0.0,0.0,liquid
7UP Nimbooz Soft Drink,42.0,0.0,0.0,10.6,65.0,0.0,0.0,liquid
Mountain Dew Lemon Soft Drink,49.0,0.0,0.0,12.3,8.0,0.0,0.0,liquid
Pluckk Natural Tender Coconut Water With Real Malai Chunks,46.0,0.0,0.0,10.76,9.98,0.0,0.0,liquid
Paper Boat Tender Coconut Water,22.0,0.0,0.0,5.5,8.5,0.0,0.0,liquid
Mirinda Orange Flavoured Soft Drink,28.0,0.0,0.0,6.8,7.0,0.0,0.0,liquid
Sting Energy Drink,28.0,0.0,0.0,6.8,41.0,0.0,0.0,liquid
Red Bull Energy Drink,45.0,0.0,0.0,11.0,41.0,0.0,0.0,liquid
Gatorade Blue Bolt Zero Sugar Energy Drink,1.0,0.0,0.0,0.0,45.0,0.0,0.0,liquid
Gatorade Orange Zero Sugar Energy Drink,24.0,0.0,0.0,0.0,48.0,0.0,0.0,liquid
Gatorade Lemon Zero Sugar Energy Drink,24.0,0.0,0.0,0.0,48.0,0.0,0.0,liquid
Smoodh Chocolate Milk Drink,83.8,1.8,1.2,13.7,67.8,2.3,0.0,solid
Smoodh Chocolate and Hazelnut Milk Drink,83.8,1.8,1.2,13.7,67.8,2.3,0.0,solid
Smoodh Toffee Caramel Milk,88.6,1.8,1.2,15.0,74.2,2.2,0.0,liquid
Hershey's Chocolate Milkshake,150.5,3.71,2.3,21.4,0.0,3.94,0.0,solid
Hershey's Cookies and Cream Milkshake,161.3,3.3,2.5,29.6,182.0,3.0,0.0,liquid
Hershey's Strawberry Milkshake,141.3,3.0,1.86,21.4,103.0,3.6,0.0,liquid
Sunfeast Dark Fantasy Chocolate Milkshake With Belgian Chocolate,110.0,3.1,1.9,16.9,105.0,3.1,0.0,solid
Creambell Choco Milkshake,98.0,3.3,1.9,13.4,47.2,3.4,0.0,liquid
Creambell Coffee Milkshake,84.0,1.6,1.0,13.8,49.9,3.4,0.0,liquid
Epigamia Turbo VANILLA CAKE and Caramel Protein Milkshake,136.0,0.2,0.12,8.0,221.0,25.0,0.0,solid
Phab 18g Protein Mango Magic Milkshake,104.0,0.0,0.0,0.5,102.6,18.0,4.0,liquid
Heritage Chocolate and Caramel Milkshake,90.3,3.5,2.1,8.5,88.0,3.4,0.0,solid
Heritage Pista Flavoured Milk,83.9,1.5,1.0,14.3,40.0,3.3,0.0,liquid
Heritage VANILLA CAKE Flavoured Milk,74.3,1.5,0.93,9.5,0.0,3.3,0.0,solid
Nestle Milo Health Chocolate Drink with Millets,73.2,2.5,1.9,8.1,49.0,2.9,0.0,solid
Amul Gold Kool Exotic Rose Flavoured Milk,118.8,5.7,3.5,0.0,0.0,5.6,0.0,liquid
Amul Kool Kesar Milk Drink,163.0,5.6,3.4,22.5,78.0,5.6,0.0,liquid
Amul Gold Kool Premium Kesar Flavoured Milk,164.0,5.7,3.5,22.5,78.0,5.6,0.0,liquid
Amul Taaza Homogenised Toned Milk (Tetra Pack),58.2,3.0,2.0,4.8,37.0,3.0,0.0,liquid
Amul Gold Kool Royal Elaichi Flavoured Milk,164.0,5.7,3.5,22.5,78.0,5.6,16.0,liquid
Nescafe Ready To Drink Coffee Flavoured Milk Iced Latte Cold Coffee,126.0,2.9,2.5,16.9,171.5,5.8,0.0,liquid
BRU Classic Cold Coffee Tetra Pack,138.0,2.5,1.75,21.8,232.0,7.0,0.2,liquid
Nescafe Cafe Style Iced Frappe Cold Coffee,47.2,1.1,0.33,6.2,51.8,1.4,0.0,liquid
Nescafe Ready To Drink Coffee Flavoured Milk Intense Cafe Cappucino Cold Coffee,126.0,2.9,2.5,16.9,165.4,5.8,0.0,liquid
Cravova Hazelnut Cold Coffee,83.2,2.8,1.8,11.4,0.0,3.0,0.0,liquid
Cravova Mocha Cold Coffee,83.2,2.8,1.8,11.4,0.0,3.0,0.0,liquid
"Tata Cold Coffee Belgian Chocolate Iced Coffee, Rich & Creamy, Flavoured Milk",75.1,4.8,3.6,18.8,203.0,0.2,0.0,solid
Dairy Day Bento Cake Choco Fantasy Ice Cream Cake - Box,179.3,11.8,9.0,39.0,68.9,4.3,0.0,solid
Winkies Cake - Chocolate Cake Slice,382.3,21.1,12.8,29.5,230.5,7.2,0.0,solid
The Baker's Dozen VANILLA CAKE Cake,329.0,18.0,2.0,22.0,125.0,6.0,2.0,solid
The Baker'S Dozen Fresh Orange Cake,313.5,13.0,2.0,32.0,135.0,5.0,2.0,solid
Britannia Gobbles Bar Cake - Fruity Fun,374.5,17.3,9.0,30.1,252.6,5.7,0.0,solid
The Baker's Dozen Banana Bread 100% Wholewheat,351.0,21.0,4.0,21.0,70.0,7.0,4.0,solid
The Baker's Dozen Wholewheat Banana Walnut Cake,410.5,27.0,2.0,22.0,60.0,9.0,3.0,solid
Britannia Fudge It Chocolate Brownie (With Egg),470.0,24.0,13.0,40.8,174.0,5.0,0.0,solid
Winkies Fruit Cake Slice,386.7,20.5,12.1,34.6,186.9,6.2,0.0,solid
Britannia Gobbles Marble Red Velvet Cake,324.4,17.2,8.8,20.0,235.0,0.0,0.0,solid
Winkies Swiss Roll Chocolate,346.6,15.91,4.21,28.81,103.66,6.75,0.0,solid
Modern Pineapple Pop Cake,356.6,19.5,8.5,27.65,91.5,5.0,0.0,solid
Cadbury Chocobakes ChocLayered Cakes,419.8,21.9,14.1,40.3,203.0,3.8,0.0,solid
The Baker'S Dozen Zero Maida Donut Cake,392.5,23.0,4.0,22.0,165.0,6.0,2.0,solid
Bauli Moonfils Croissants Choco Cream (Egg),334.0,17.6,11.1,21.0,213.3,6.9,0.0,solid
UNIBIC Fruit N' Nut Cake,404.3,24.6,11.1,26.4,426.1,6.4,3.0,solid
Modern Fruit N Nut Cake,348.7,18.5,7.4,24.2,268.2,6.8,2.8,solid
UNIBIC Plum Cake,393.3,16.3,8.9,39.9,143.9,5.5,4.1,solid
Winkies Fruit Cake Raisin & Tutti Fruitti,367.7,20.06,10.84,25.32,265.31,7.58,0.0,solid
