Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Navratan pulao,194.6,9.45,2.83,2.52,334.26,6.2,3.82,solid
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),126.3,4.82,1.45,2.48,170.05,4.88,3.15,solid
Mutton biryani/biriyani,152.1,7.72,2.7,2.39,262.64,7.38,2.42,solid
Vegetable biryani/biriyani,144.0,9.51,2.85,2.14,183.79,3.16,3.31,solid
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",136.2,7.88,2.36,0.78,187.11,4.26,2.52,solid
Sweet rice (Meethe chawal),183.2,4.57,1.37,24.8,3.2,2.1,1.13,solid
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),138.8,4.32,2.68,3.91,213.29,5.75,2.13,solid
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),268.2,8.53,2.56,11.65,162.41,7.45,5.12,solid
Spanish rice,105.8,2.23,0.67,1.26,96.61,4.19,2.78,solid
Chinese fried rice,98.1,5.43,1.63,1.47,248.36,4.05,2.31,solid
Macroni cheese pie,137.9,7.48,4.64,3.4,200.51,5.85,0.4,solid
Vegetable chowmein,105.4,6.36,1.91,1.97,258.47,3.07,1.86,solid
Chicken chowmein,130.3,8.23,2.88,1.63,288.15,6.33,1.64,solid
Cheese noodle ring,113.8,6.12,3.79,2.84,241.96,6.22,1.27,solid
Spaghetti and cheese balls in tomato sauce,508.32,52.08,32.29,1.83,104.14,2.41,0.59,solid
Penne platter,148.1,8.71,2.61,4.5,283.37,5.04,1.09,solid
Pasta hot pot,125.17,6.47,1.94,5.99,231.17,5.84,0.8,solid
Chicken lasagne,166.9,10.36,3.63,2.74,238.55,10.45,0.11,solid
Fettuccine with spinach sauce,109.2,7.83,2.35,1.18,153.59,3.1,0.77,solid
Naan,194.9,4.99,1.5,5.59,326.11,8.05,1.91,solid
Bhatura,793.2,82.56,24.77,0.69,28.3,1.63,0.38,solid
Idli,82.4,0.33,0.1,0.28,100.83,4.64,2.31,solid
Masala dosa,129.3,7.84,2.59,1.33,191.28,3.29,2.52,solid
Semolina dosa (Suji/Rava dosa),172.9,7.12,2.14,4.37,202.36,7.3,4.04,solid
Onion tomato uttapam,462.02,45.3,13.59,0.8,143.53,1.91,1.26,solid
Paneer kaathi roll,253.8,19.55,12.12,3.29,221.03,6.92,2.4,solid
Makki ki roti,221.4,16.85,5.06,0.7,236.22,3.49,5.19,solid
Washed moong dal (Dhuli moong ki dal),39.3,1.68,0.55,0.12,150.64,2.68,1.17,solid
Washed urad dal (Dhuli urad ki dal),51.3,2.98,0.98,0.32,142.21,2.51,1.53,solid
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),63.2,3.6,1.19,1.05,149.47,2.79,2.72,solid
Dry washed urad,97.3,3.5,1.05,0.73,295.79,6.85,4.06,solid
Mixed dal,52.2,3.1,1.02,0.34,141.36,2.51,1.62,solid
Whole moong (Moong ki dal),46.1,2.56,0.84,0.59,123.86,2.25,2.02,solid
